,Stvarna potrošnja,Random Forest predikcija,LSTM predikcija,Temperatura,Sat,Mjesec,Vikend
2018-03-23 00:00:00,28417.0,26226.73,26284.13330383301,5.0400000000000205,0,3,0
2018-03-23 01:00:00,26379.0,24490.045,24947.553351879124,4.0,1,3,0
2018-03-23 02:00:00,25220.0,23518.67,23667.11523218155,2.8600000000000136,2,3,0
2018-03-23 03:00:00,24757.0,23084.026,22959.568947410586,2.0,3,3,0
2018-03-23 04:00:00,24686.0,22962.446,22957.325032138826,2.0,4,3,0
2018-03-23 05:00:00,25387.0,23840.421000000002,23901.8741850853,2.0,5,3,0
2018-03-23 06:00:00,28007.999999999996,25102.2,26164.497703647616,2.0,6,3,0
2018-03-23 07:00:00,31580.0,29392.3,29281.11288919449,3.340000000000032,7,3,0
2018-03-23 08:00:00,34593.0,28291.17,31772.471705627442,3.990000000000009,8,3,0
2018-03-23 09:00:00,36151.0,32855.65,33179.003701782225,4.360000000000014,9,3,0
2018-03-23 10:00:00,36745.0,34206.43,33880.81445121765,5.970000000000027,10,3,0
2018-03-23 11:00:00,36700.0,30235.14,34092.64102954865,7.590000000000032,11,3,0
2018-03-23 12:00:00,36483.0,33073.59,33864.772532463074,8.57000000000005,12,3,0
2018-03-23 13:00:00,35967.0,32694.36,33279.232731151584,9.980000000000018,13,3,0
2018-03-23 14:00:00,34940.0,29949.67,32507.25506858826,11.560000000000002,14,3,0
2018-03-23 15:00:00,34167.0,31128.27,31832.107599639894,13.180000000000007,15,3,0
2018-03-23 16:00:00,33791.0,31973.81,31556.32333183289,11.420000000000016,16,3,0
2018-03-23 17:00:00,33697.0,33119.19,31918.658268451694,9.980000000000018,17,3,0
2018-03-23 18:00:00,33596.0,32524.45,32854.76649093628,9.79000000000002,18,3,0
2018-03-23 19:00:00,35234.0,32266.34,33882.94360694885,9.410000000000025,19,3,0
2018-03-23 20:00:00,36536.0,32736.91,34370.59352016449,8.980000000000018,20,3,0
2018-03-23 21:00:00,35705.0,32714.04,33643.936109352115,9.490000000000009,21,3,0
2018-03-23 22:00:00,33491.0,30925.8,31246.16980247498,9.650000000000034,22,3,0
2018-03-23 23:00:00,30700.0,28388.98,28255.431182765962,10.430000000000007,23,3,0
2018-03-24 00:00:00,28503.0,26178.663333333334,26222.002000236513,10.0,0,3,1
2018-03-24 01:00:00,26630.0,24105.91,24904.882336330415,10.0,1,3,1
2018-03-24 02:00:00,25077.0,23412.56,23614.11829967499,7.710000000000036,2,3,1
2018-03-24 03:00:00,24509.0,22276.355,22847.961631679536,6.0,3,3,1
2018-03-24 04:00:00,24148.0,22704.521333333334,22643.789758872987,5.0,4,3,1
2018-03-24 05:00:00,24066.000000000004,21551.025,23003.209314823154,5.0,5,3,1
2018-03-24 06:00:00,24519.000000000004,24259.664666666667,24053.10528430939,3.2900000000000205,6,3,1
2018-03-24 07:00:00,25312.0,27192.14,25885.61004486084,3.9500000000000455,7,3,1
2018-03-24 08:00:00,27582.0,25366.19,28184.551295471192,3.451656250000042,8,3,1
2018-03-24 09:00:00,30491.999999999996,27716.51,30181.606587028506,4.709343750000016,9,3,1
2018-03-24 10:00:00,32442.0,30838.93,31406.99919433594,5.150000000000034,10,3,1
2018-03-24 11:00:00,32948.0,31264.18,31878.736598491672,6.680000000000007,11,3,1
2018-03-24 12:00:00,32293.0,31130.91,31693.773519420625,7.393000000000029,12,3,1
2018-03-24 13:00:00,32633.0,30796.44,31025.970661067964,8.039250000000038,13,3,1
2018-03-24 14:00:00,31807.0,29781.2,30138.398399162295,8.730000000000018,14,3,1
2018-03-24 15:00:00,30255.0,29791.48,29314.534774112704,9.550000000000011,15,3,1
2018-03-24 16:00:00,29452.0,30442.18,28822.15286111832,9.78000000000003,16,3,1
2018-03-24 17:00:00,29094.0,29691.52,28838.16547956467,9.78000000000003,17,3,1
2018-03-24 18:00:00,29385.0,27710.16,29452.08018770218,10.170000000000016,18,3,1
2018-03-24 19:00:00,31101.0,30883.74,30467.142974090577,9.78000000000003,19,3,1
2018-03-24 20:00:00,32889.0,32743.716666666664,31326.286611938478,8.980000000000018,20,3,1
2018-03-24 21:00:00,32811.0,31596.52,31188.460403728488,9.230000000000018,21,3,1
2018-03-24 22:00:00,31247.0,29760.27,29133.182958030702,9.0,22,3,1
2018-03-24 23:00:00,29095.0,27123.49,26185.50358295441,8.430000000000007,23,3,1
2018-03-25 00:00:00,26756.0,25456.3,24390.244397544862,8.430000000000007,0,3,1
2018-03-25 01:00:00,24663.0,22650.81,23158.078535652163,8.0,1,3,1
2018-03-25 03:00:00,22486.999999999996,21148.46666666667,22032.67567186356,7.430000000000007,3,3,1
2018-03-25 04:00:00,22239.0,21541.371714285713,21454.98102807999,7.0,4,3,1
2018-03-25 05:00:00,22550.999999999996,20842.85,21407.60487136841,6.430000000000007,5,3,1
2018-03-25 06:00:00,23165.999999999996,22117.16,21793.336104106904,6.430000000000007,6,3,1
2018-03-25 07:00:00,23387.000000000004,26353.45,22612.870608615878,6.430000000000007,7,3,1
2018-03-25 08:00:00,25115.0,25851.86,23947.2530374527,5.260000000000048,8,3,1
2018-03-25 09:00:00,27328.999999999996,26142.61,25751.03861255646,4.770000000000039,9,3,1
2018-03-25 10:00:00,28759.0,27837.3,27594.887475776675,4.560000000000002,10,3,1
2018-03-25 11:00:00,29068.0,31376.0,28932.160868358613,6.180000000000007,11,3,1
2018-03-25 12:00:00,29174.0,30903.09,29517.67136936188,7.78000000000003,12,3,1
2018-03-25 13:00:00,29024.0,29084.82,29411.667737579348,8.78000000000003,13,3,1
2018-03-25 14:00:00,27844.999999999996,30184.4,28817.157158565522,10.170000000000016,14,3,1
2018-03-25 15:00:00,26729.0,28556.59,28007.467557621003,10.57000000000005,15,3,1
2018-03-25 16:00:00,26162.0,28886.78,27249.812862396244,11.600000000000023,16,3,1
2018-03-25 17:00:00,26168.999999999996,27268.41,26765.92559709549,11.760000000000048,17,3,1
2018-03-25 18:00:00,27041.0,27056.98,26736.69853963852,12.0,18,3,1
2018-03-25 19:00:00,29570.0,30844.29,27315.67018852234,10.590000000000032,19,3,1
2018-03-25 20:00:00,32004.0,31804.2,28522.49128379822,9.0,20,3,1
2018-03-25 21:00:00,31155.0,31690.15,29848.801477718356,9.0,21,3,1
2018-03-25 22:00:00,29461.999999999996,29913.383333333335,30162.17315759659,8.5,22,3,1
2018-03-25 23:00:00,27057.0,28060.40033333333,28321.749988746644,8.0,23,3,1
2018-03-26 00:00:00,25008.0,25458.661833333335,25644.959288311005,7.57000000000005,0,3,0
2018-03-26 01:00:00,23699.0,22939.18,23140.654619026187,6.430000000000007,1,3,0
2018-03-26 02:00:00,23061.0,22525.98,22140.57405691147,7.430000000000007,2,3,0
2018-03-26 03:00:00,23000.000000000004,21679.82,21750.68706378937,6.57000000000005,3,3,0
2018-03-26 04:00:00,23725.0,21797.62,22015.815786170962,6.430000000000007,4,3,0
2018-03-26 05:00:00,26461.0,22253.94,23186.490067863466,6.0,5,3,0
2018-03-26 06:00:00,30486.0,25122.129666666664,25642.14157533646,5.57000000000005,6,3,0
2018-03-26 07:00:00,33040.0,28326.121666666666,28861.803503227235,5.0,7,3,0
2018-03-26 08:00:00,35163.0,28522.89,31424.633096504214,4.010000000000048,8,3,0
2018-03-26 09:00:00,35976.0,29422.62,32905.018961238864,4.0,9,3,0
2018-03-26 10:00:00,36057.0,30566.16,33662.76888246537,5.400000000000034,10,3,0
2018-03-26 11:00:00,35700.0,34326.23,33879.085733032225,7.1299999999999955,11,3,0
2018-03-26 12:00:00,34848.0,31834.79,33621.09163570404,10.0,12,3,0
2018-03-26 13:00:00,33774.0,32629.57,32998.02058124542,11.32000000000005,13,3,0
2018-03-26 14:00:00,32877.0,31818.8,32238.16347951889,12.0,14,3,0
2018-03-26 15:00:00,32164.0,30252.673666666666,31632.39669876099,13.0,15,3,0
2018-03-26 16:00:00,31672.0,30801.38,31432.846949577335,14.0,16,3,0
2018-03-26 17:00:00,31157.0,30579.6,31812.412909126284,13.79000000000002,17,3,0
2018-03-26 18:00:00,31450.0,30904.96,32684.995621681217,13.79000000000002,18,3,0
2018-03-26 19:00:00,33302.0,33926.19,33648.54114112854,14.189999999999998,19,3,0
2018-03-26 20:00:00,34953.0,33967.52,34046.3074754715,13.600000000000023,20,3,0
2018-03-26 21:00:00,32642.0,31690.87,33157.71214447021,11.810000000000002,21,3,0
2018-03-26 22:00:00,30211.0,28897.44,30583.50182313919,11.5,22,3,0
2018-03-26 23:00:00,28128.0,29226.5,27515.986629104616,11.230000000000018,23,3,0
2018-03-27 00:00:00,26090.0,24481.66,25530.180214214328,9.57000000000005,0,3,0
2018-03-27 01:00:00,24729.0,23527.512952380952,24351.851226997376,7.860000000000014,1,3,0
2018-03-27 02:00:00,24150.0,23829.7075,23278.63221216202,6.2900000000000205,2,3,0
2018-03-27 03:00:00,23870.0,22842.3425,22767.920514678957,5.860000000000014,3,3,0
2018-03-27 04:00:00,24313.0,21182.67333333333,22930.871737194062,6.430000000000007,4,3,0
2018-03-27 05:00:00,26760.0,23267.79,24066.827595329287,5.860000000000014,5,3,0
2018-03-27 06:00:00,30638.0,25552.2,26445.360691547397,5.430000000000007,6,3,0
2018-03-27 07:00:00,32815.0,26457.283333333336,29360.968437576295,5.860000000000014,7,3,0
2018-03-27 08:00:00,34633.0,31327.58,31529.838294887544,6.210000000000036,8,3,0
2018-03-27 09:00:00,35144.0,33514.34,32738.971672821048,6.9500000000000455,9,3,0
2018-03-27 10:00:00,35080.0,33033.47,33310.97229003906,8.330000000000041,10,3,0
2018-03-27 11:00:00,34433.0,31781.930999999997,33401.9790473938,10.170000000000016,11,3,0
2018-03-27 12:00:00,33866.0,32492.69,33073.92791309357,12.170000000000016,12,3,0
2018-03-27 13:00:00,32902.0,32317.66,32470.151111602787,13.760000000000048,13,3,0
2018-03-27 14:00:00,32021.0,30093.38,31760.62949771881,15.760000000000048,14,3,0
2018-03-27 15:00:00,31327.0,29814.55,31164.30962467194,17.370000000000005,15,3,0
2018-03-27 16:00:00,30848.999999999996,31593.15,30934.573232936862,18.77000000000004,16,3,0
2018-03-27 17:00:00,30177.0,29935.65,31254.41783924103,19.78000000000003,17,3,0
2018-03-27 18:00:00,30108.0,29142.04,32079.956465244297,19.99000000000001,18,3,0
2018-03-27 19:00:00,31846.000000000004,31459.43,33050.839270210265,20.0,19,3,0
2018-03-27 20:00:00,33855.0,32377.81,33470.40259218216,19.590000000000032,20,3,0
2018-03-27 21:00:00,31639.0,30842.35,32510.492752647402,17.79000000000002,21,3,0
2018-03-27 22:00:00,29519.0,28742.86,29853.611611652377,16.02000000000004,22,3,0
2018-03-27 23:00:00,27601.0,27007.84,26907.106690597535,14.950000000000045,23,3,0
2018-03-28 00:00:00,25746.999999999996,27502.69,25071.68410768509,13.0,0,3,0
2018-03-28 01:00:00,24390.000000000004,22740.6,23977.43723831177,11.430000000000007,1,3,0
2018-03-28 02:00:00,23720.0,23600.54,23031.593988418583,9.860000000000014,2,3,0
2018-03-28 03:00:00,23412.0,23903.97833333333,22623.66288881302,8.860000000000014,3,3,0
2018-03-28 04:00:00,23906.999999999996,23392.722666666665,22867.29739341736,8.430000000000007,4,3,0
2018-03-28 05:00:00,26157.0,24747.57833333333,23994.5461766243,7.0,5,3,0
2018-03-28 06:00:00,29604.0,26460.78,26138.422871017458,6.0,6,3,0
2018-03-28 07:00:00,31589.000000000004,28656.268333333333,28670.26494665146,6.0,7,3,0
2018-03-28 08:00:00,33228.0,23864.891999999993,30624.80304927826,7.490000000000009,8,3,0
2018-03-28 09:00:00,33416.0,31774.18,31767.087773990632,7.189999999999998,9,3,0
2018-03-28 10:00:00,33276.0,34344.01,32278.07294101715,9.160000000000025,10,3,0
2018-03-28 11:00:00,32829.0,32342.87,32280.575675678254,12.160000000000025,11,3,0
2018-03-28 12:00:00,32411.0,34721.84,31880.140571594242,14.160000000000025,12,3,0
2018-03-28 13:00:00,31440.0,34978.94,31245.808432006837,16.57000000000005,13,3,0
2018-03-28 14:00:00,30481.0,33579.33,30567.909175777437,18.370000000000005,14,3,0
2018-03-28 15:00:00,29913.999999999996,32997.93,30062.16388053894,19.600000000000023,15,3,0
2018-03-28 16:00:00,29532.0,32058.98,29910.35654191971,19.79000000000002,16,3,0
